Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Cam Newton (CAR, QB)",364.4,24.3,32.6,1.0,5.6,5.9,3.3,2.8,3.3,0.0,7.9,9.1,6.5
"Tom Brady (NE, QB)",338.8,22.6,24.4,1.0,3.9,4.2,1.6,9.5,10.0,6.7,-1.1,0.0,-2.5
"Russell Wilson (SEA, QB)",321.1,21.4,19.7,1.0,2.7,3.0,0.4,-1.2,-0.7,-4.0,7.5,8.6,6.0
"Blake Bortles (JAX, QB)",318.6,21.2,19.1,1.0,2.5,2.8,0.2,1.3,1.9,-1.5,3.5,4.6,2.1
"Drew Brees (NO, QB)",294.1,21.0,17.0,0.9,2.3,2.6,0.0,3.4,3.9,0.5,1.3,2.5,-0.1
"Carson Palmer (ARI, QB)",306.1,20.4,16.3,1.0,1.7,2.0,-0.6,3.3,3.8,0.4,0.2,1.3,-1.2
"Aaron Rodgers (GB, QB)",286.4,19.1,12.5,1.0,0.4,0.7,-1.9,2.3,2.8,-0.5,-1.4,-0.2,-2.8
"Ryan Fitzpatrick (NYJ, QB)",278.8,18.6,11.2,1.0,-0.1,0.2,-2.4,-1.8,-1.3,-4.6,1.3,2.4,-0.1
"Kirk Cousins (WAS, QB)",276.4,18.4,10.8,1.0,-0.3,0.0,-2.6,-2.6,-2.1,-5.5,1.7,2.8,0.3
"Eli Manning (NYG, QB)",275.9,18.4,10.7,1.0,-0.3,0.0,-2.6,1.4,1.9,-1.4,-2.0,-0.9,-3.4
"Matthew Stafford (DET, QB)",269.5,18.0,9.8,1.0,-0.8,-0.4,-3.0,-2.4,-1.9,-5.2,1.4,2.5,0.0
"Philip Rivers (SD, QB)",268.9,17.9,9.7,1.0,-0.8,-0.5,-3.1,3.7,4.2,0.8,-5.6,-4.4,-7.0
"Derek Carr (OAK, QB)",264.3,17.6,9.0,1.0,-1.1,-0.8,-3.4,1.0,1.5,-1.8,-3.0,-1.9,-4.4
"Jameis Winston (TB, QB)",260.4,17.4,8.5,1.0,-1.4,-1.0,-3.6,-1.2,-0.7,-4.1,-1.5,-0.4,-2.9
"Alex Smith (KC, QB)",250.9,16.7,7.3,1.0,-2.0,-1.7,-4.3,-0.5,0.0,-3.3,-3.4,-2.2,-4.8
"Ben Roethlisberger (PIT, QB)",190.5,17.3,6.2,0.7,-1.4,-1.1,-3.7,-3.2,-2.7,-6.0,-0.9,0.3,-2.3
"Ryan Tannehill (MIA, QB)",236.8,15.8,5.8,1.0,-2.9,-2.6,-5.2,-0.9,-0.4,-3.7,-4.8,-3.6,-6.2
"Jay Cutler (CHI, QB)",221.6,15.8,5.5,0.9,-2.9,-2.6,-5.2,-1.2,-0.7,-4.1,-4.4,-3.2,-5.8
"Matt Ryan (ATL, QB)",222.6,14.8,4.5,1.0,-3.9,-3.6,-6.2,-1.0,-0.5,-3.8,-6.9,-5.7,-8.3
"Sam Bradford (MIN, QB)",182.3,14.0,3.1,0.9,-4.7,-4.4,-7.0,-4.5,-4.0,-7.4,-4.5,-3.4,-5.9
