Player,Total Pts,Avg Pts,Avg Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Devonta Freeman (ATL, RB)",228.0,16.3,54.6,0.9,6.2,6.5,3.8,10.4,10.3,7.4,0.9,0.8,-1.8
"Adrian Peterson (MIN, RB)",223.9,14.9,48.8,1.0,4.9,5.1,2.5,3.0,2.9,0.0,6.7,6.6,4.0
"Doug Martin (TB, RB)",196.5,13.1,31.6,1.0,3.0,3.3,0.6,3.7,3.6,0.7,2.7,2.6,0.0
"DeAngelo Williams (PIT, RB)",191.3,12.8,30.6,1.0,2.7,2.9,0.3,-3.2,-3.3,-6.2,9.6,9.5,6.9
"Todd Gurley (STL, RB)",189.6,14.6,42.0,0.9,4.5,4.8,2.1,6.3,6.2,3.3,3.7,3.6,0.9
"Lamar Miller (HOU, RB)",176.6,11.8,18.1,1.0,1.7,1.9,-0.7,1.7,1.6,-1.3,2.0,1.9,-0.7
"Chris Ivory (JAC, RB)",166.6,11.9,20.4,0.9,1.8,2.1,-0.6,4.8,4.7,1.8,-0.1,-0.2,-2.8
"Latavius Murray (OAK, RB)",160.2,10.7,7.5,1.0,0.6,0.9,-1.8,1.6,1.5,-1.4,0.0,-0.1,-2.7
"Frank Gore (IND, RB)",155.8,10.4,4.3,1.0,0.3,0.6,-2.1,0.0,-0.1,-3.0,0.9,0.8,-1.8
"Mark Ingram (NO, RB)",152.5,12.7,19.0,0.8,2.6,2.9,0.2,3.7,3.6,0.7,0.8,0.7,-1.9
"Matt Forte (NYJ, RB)",149.7,12.5,19.2,0.8,2.4,2.6,0.0,3.1,3.0,0.1,1.6,1.6,-1.1
"Jonathan Stewart (CAR, RB)",148.8,11.4,13.4,0.9,1.4,1.6,-1.0,0.1,0.0,-2.9,3.1,3.0,0.4
"Darren McFadden (DAL, RB)",145.2,9.7,0.0,1.0,-0.4,-0.1,-2.8,-1.2,-1.3,-4.2,0.6,0.5,-2.1
"LeSean McCoy (BUF, RB)",144.7,12.1,15.6,0.8,2.0,2.2,-0.4,0.4,0.3,-2.6,3.4,3.3,0.7
"Jeremy Hill (CIN, RB)",139.8,9.3,0.0,1.0,-0.7,-0.5,-3.2,-0.6,-0.7,-3.6,-0.6,-0.7,-3.3
"DeMarco Murray (TEN, RB)",129.2,9.2,0.0,0.9,-0.8,-0.6,-3.2,0.8,0.7,-2.2,-1.8,-1.9,-4.5
"Giovani Bernard (CIN, RB)",127.4,8.5,0.0,1.0,-1.6,-1.3,-4.0,-0.1,-0.2,-3.1,-2.6,-2.7,-5.3
"Thomas Rawls (SEA, RB)",118.6,9.9,3.1,0.8,-0.2,0.1,-2.6,-3.8,-3.9,-6.8,5.1,5.0,2.4
"T.J. Yeldon (JAC, RB)",117.9,9.8,0.0,0.8,-0.2,0.0,-2.6,-0.3,-0.4,-3.3,0.1,0.0,-2.6
"Eddie Lacy (GB, RB)",116.5,8.3,0.0,0.9,-1.7,-1.5,-4.2,-2.9,-2.9,-5.9,-0.4,-0.5,-3.1
"LeGarrette Blount (NE, RB)",114.6,9.5,0.0,0.8,-0.5,-0.3,-2.9,0.3,0.2,-2.7,-1.1,-1.2,-3.8
"Rashad Jennings (NYG, RB)",114.3,7.6,0.0,1.0,-2.4,-2.2,-4.9,-2.9,-3.0,-5.9,-1.7,-1.8,-4.4
"Isaiah Crowell (CLE, RB)",111.5,7.4,0.0,1.0,-2.6,-2.4,-5.0,-3.5,-3.6,-6.5,-1.4,-1.5,-4.1
"Charcandrick West (KC, RB)",109.6,7.8,0.0,0.9,-2.2,-2.0,-4.6,-4.3,-4.4,-7.3,0.7,0.6,-2.0
"C.J. Anderson (DEN, RB)",105.3,7.5,0.0,0.9,-2.5,-2.3,-5.0,-3.8,-3.9,-6.8,-1.1,-1.2,-3.8
"Chris Johnson (ARI, RB)",105.2,9.6,0.0,0.7,-0.5,-0.3,-2.9,1.3,1.2,-1.7,-5.1,-5.2,-7.8
"Justin Forsett (BAL, RB)",91.4,9.1,0.0,0.7,-0.9,-0.7,-3.3,0.2,0.1,-2.8,-5.3,-5.3,-8.0
"Alfred Blue (HOU, RB)",86.3,6.6,0.0,0.9,-3.4,-3.2,-5.8,-4.6,-4.7,-7.6,-1.8,-1.9,-4.5
"Melvin Gordon (SD, RB)",83.3,6.0,0.0,0.9,-4.1,-3.9,-6.5,-4.2,-4.3,-7.2,-3.8,-3.9,-6.5
"Alfred Morris (DAL, RB)",77.8,5.2,0.0,1.0,-4.9,-4.6,-7.3,-5.4,-5.5,-8.4,-4.2,-4.3,-6.9
