Player,Total Pts,Avg Pts,Avg Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Rob Gronkowski (NE, TE)",184.4,12.3,55.7,1.0,5.7,5.5,3.4,5.1,4.9,2.1,6.4,6.3,5.0
"Antonio Gates (SD, TE)",147.4,9.8,30.0,1.0,3.2,3.0,0.9,4.8,4.6,1.8,1.4,1.3,0.0
"Jimmy Graham (SEA, TE)",139.5,10.0,30.2,0.9,3.3,3.2,1.0,2.2,2.0,-0.8,4.6,4.5,3.2
"Greg Olsen (CAR, TE)",134.1,8.9,21.6,1.0,2.3,2.2,0.0,2.9,2.8,0.0,1.6,1.5,0.2
"Martellus Bennett (CHI, TE)",121.7,8.1,12.9,1.0,1.5,1.3,-0.8,3.0,2.9,0.1,-0.3,-0.4,-1.7
"Julius Thomas (JAC, TE)",120.9,10.1,24.3,0.8,3.4,3.3,1.1,5.2,5.1,2.3,0.8,0.8,-0.5
"Delanie Walker (TEN, TE)",108.7,7.8,8.5,0.9,1.1,1.0,-1.2,1.8,1.6,-1.2,0.2,0.1,-1.2
"Coby Fleener (IND, TE)",107.8,7.2,5.7,1.0,0.5,0.4,-1.8,-2.2,-2.3,-5.1,3.7,3.6,2.3
"Travis Kelce (KC, TE)",101.8,6.8,1.0,1.0,0.1,0.0,-2.2,0.4,0.3,-2.5,0.1,0.0,-1.3
"Jason Witten (DAL, TE)",95.4,6.4,0.0,1.0,-0.3,-0.4,-2.6,-1.5,-1.6,-4.4,1.1,1.0,-0.3
"Heath Miller (PIT, TE)",88.0,5.9,0.0,1.0,-0.8,-0.9,-3.1,-1.1,-1.2,-4.0,-0.4,-0.5,-1.8
"Larry Donnell (NYG, TE)",87.7,5.8,0.0,1.0,-0.8,-0.9,-3.1,0.2,0.0,-2.8,-1.4,-1.5,-2.8
"Dwayne Allen (IND, TE)",87.5,7.3,1.1,0.8,0.7,0.5,-1.6,1.4,1.3,-1.5,-1.3,-1.4,-2.7
"Zach Ertz (PHI, TE)",80.6,5.4,0.0,1.0,-1.3,-1.4,-3.6,-0.7,-0.8,-3.6,-1.6,-1.7,-3.0
"Jared Cook (STL, TE)",77.7,5.2,0.0,1.0,-1.5,-1.6,-3.8,-2.4,-2.6,-5.4,-0.4,-0.5,-1.8
"Mychal Rivera (OAK, TE)",72.8,4.9,0.0,1.0,-1.8,-1.9,-4.1,-4.8,-5.0,-7.8,1.0,1.0,-0.3
"Owen Daniels (DEN, TE)",72.1,5.1,0.0,0.9,-1.5,-1.6,-3.8,-0.7,-0.8,-3.6,-2.2,-2.3,-3.6
"Scott Chandler (NE, TE)",65.7,4.4,0.0,1.0,-2.3,-2.4,-4.6,-2.8,-2.9,-5.7,-1.6,-1.7,-3.0
"Niles Paul (WAS, TE)",52.8,3.5,0.0,1.0,-3.1,-3.3,-5.4,-1.5,-1.7,-4.5,-4.9,-5.0,-6.3
"Jordan Reed (WAS, TE)",39.5,4.0,0.0,0.7,-2.7,-2.8,-5.0,-2.4,-2.6,-5.4,-2.6,-2.7,-4.0
