Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Julio Jones (ATL, WR)",204.2,13.6,60.8,1.0,4.6,4.3,2.8,5.3,4.6,2.4,4.1,3.9,2.4
"Antonio Brown (PIT, WR)",203.5,13.6,59.9,1.0,4.5,4.2,2.7,1.7,1.0,-1.2,8.1,7.9,6.4
"Odell Beckham (NYG, WR)",191.8,13.7,58.2,0.9,4.7,4.4,2.9,2.8,2.2,0.0,7.5,7.2,5.8
"Brandon Marshall (NYJ, WR)",189.6,12.6,45.2,1.0,3.6,3.3,1.8,3.2,2.5,0.4,4.2,4.0,2.6
"DeAndre Hopkins (HOU, WR)",187.2,12.5,42.9,1.0,3.4,3.2,1.7,5.0,4.3,2.2,2.0,1.8,0.3
"Allen Robinson (JAX, WR)",185.2,12.3,41.1,1.0,3.3,3.0,1.5,2.9,2.2,0.1,3.9,3.7,2.3
"A.J. Green (CIN, WR)",162.3,10.8,24.3,1.0,1.8,1.5,0.0,2.7,2.0,-0.2,1.3,1.1,-0.4
"Doug Baldwin (SEA, WR)",158.3,10.6,21.9,1.0,1.5,1.2,-0.3,-3.6,-4.2,-6.4,7.7,7.4,6.0
"Sammy Watkins (BUF, WR)",127.2,10.6,17.9,0.8,1.6,1.3,-0.2,-3.2,-3.9,-6.0,4.2,4.0,2.5
"Brandin Cooks (NO, WR)",149.6,10.0,17.5,1.0,0.9,0.7,-0.8,-0.8,-1.4,-3.6,3.2,3.0,1.5
"Martavis Bryant (PIT, WR)",110.2,11.0,17.4,0.7,2.0,1.7,0.2,3.5,2.8,0.7,1.5,1.3,-0.1
"Eric Decker (NYJ, WR)",141.7,10.1,17.3,0.9,1.1,0.8,-0.7,1.0,0.3,-1.8,1.4,1.2,-0.3
"Allen Hurns (JAX, WR)",141.3,10.1,17.1,0.9,1.1,0.8,-0.7,1.3,0.6,-1.5,1.1,0.9,-0.6
