Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Adrian Peterson (NO, RB)",267.0,17.8,67.3,1.0,17.2,8.1,2.3,17.8,8.9,2.9,16.4,8.2,1.5
"Frank Gore (IND, RB)",201.4,15.5,44.2,0.9,14.8,5.8,0.0,14.8,6.0,0.0,14.9,6.7,-0.1
"Jonathan Stewart (CAR, RB)",170.7,11.4,27.5,1.0,10.7,1.7,-4.1,8.8,0.0,-6.0,12.4,4.2,-2.5
"Jamaal Charles (DEN, RB)",145.5,10.4,21.4,0.9,9.7,0.7,-5.1,2.9,-6.0,-12.0,14.9,6.7,0.0
"Matt Forte (NYJ, RB)",145.6,9.7,20.0,1.0,9.1,0.0,-5.8,10.0,1.2,-4.8,8.2,0.0,-6.7
"Tim Hightower (SF, RB)",139.8,9.3,18.4,1.0,8.7,-0.4,-6.2,10.2,1.3,-4.7,7.4,-0.8,-7.5
"Darren Sproles (PHI, RB)",122.2,8.1,14.1,1.0,7.5,-1.6,-7.3,7.8,-1.0,-7.1,7.2,-1.0,-7.7
"LeSean McCoy (BUF, RB)",115.6,7.7,12.6,1.0,7.1,-2.0,-7.8,6.6,-2.2,-8.2,7.4,-0.8,-7.5
"Marshawn Lynch (OAK, RB)",72.7,6.1,6.2,0.8,5.4,-3.6,-9.4,7.3,-1.6,-7.6,4.1,-4.1,-10.8
"Darren McFadden (DAL, RB)",59.2,5.4,4.5,0.7,4.7,-4.3,-10.1,4.7,-4.1,-10.1,4.8,-3.4,-10.1
"Danny Woodhead (BAL, RB)",13.1,2.2,0.4,0.4,1.5,-7.5,-13.3,1.7,-7.2,-13.2,1.6,-6.6,-13.3
