Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Devonta Freeman (ATL, RB)",228.0,16.3,69.1,0.9,6.4,6.4,3.8,10.7,10.4,7.4,0.7,0.8,-2.2
"Adrian Peterson (MIN, RB)",223.9,14.9,52.2,1.0,5.0,5.0,2.5,3.3,3.0,0.0,6.5,6.6,3.6
"Todd Gurley (LA, RB)",189.6,14.6,41.3,0.9,4.7,4.7,2.1,6.6,6.3,3.3,3.5,3.6,0.5
"Doug Martin (TB, RB)",196.5,13.1,31.0,1.0,3.2,3.2,0.6,4.0,3.7,0.7,2.5,2.6,-0.4
"DeAngelo Williams (PIT, RB)",191.3,12.8,27.8,1.0,2.8,2.9,0.3,-2.9,-3.2,-6.2,9.4,9.5,6.5
"Mark Ingram (NO, RB)",152.5,12.7,22.0,0.8,2.8,2.8,0.2,4.0,3.7,0.7,0.6,0.7,-2.3
"Matt Forte (NYJ, RB)",149.7,12.5,20.4,0.8,2.6,2.6,0.0,3.4,3.1,0.1,1.5,1.6,-1.5
"Lamar Miller (HOU, RB)",176.6,11.8,20.2,1.0,1.8,1.9,-0.7,2.0,1.6,-1.3,1.8,1.9,-1.1
"Chris Ivory (JAX, RB)",166.6,11.9,19.7,0.9,2.0,2.0,-0.6,5.1,4.8,1.8,-0.3,-0.2,-3.2
"LeSean McCoy (BUF, RB)",144.7,12.1,17.8,0.8,2.1,2.2,-0.4,0.7,0.4,-2.6,3.2,3.3,0.3
"Jonathan Stewart (CAR, RB)",148.8,11.4,15.7,0.9,1.5,1.6,-1.0,0.4,0.1,-2.9,2.9,3.0,0.0
"David Johnson (ARI, RB)",161.9,10.8,14.3,1.0,0.9,0.9,-1.7,-2.6,-2.9,-5.9,4.9,5.0,2.0
"Latavius Murray (OAK, RB)",160.2,10.7,13.7,1.0,0.8,0.8,-1.8,1.9,1.6,-1.4,-0.2,-0.1,-3.1
"Frank Gore (IND, RB)",155.8,10.4,12.3,1.0,0.5,0.5,-2.1,0.3,0.0,-3.0,0.7,0.8,-2.2
"Thomas Rawls (SEA, RB)",118.6,9.9,8.0,0.8,-0.0,0.0,-2.6,-3.5,-3.8,-6.8,4.9,5.0,2.0
"Jeremy Hill (CIN, RB)",139.8,9.3,7.9,1.0,-0.6,-0.6,-3.2,-0.3,-0.6,-3.6,-0.8,-0.7,-3.7
"T.J. Yeldon (JAX, RB)",117.9,9.8,7.8,0.8,-0.1,-0.1,-2.6,-0.0,-0.4,-3.3,-0.1,0.0,-3.0
"DeMarco Murray (TEN, RB)",129.2,9.2,7.1,0.9,-0.7,-0.7,-3.2,1.1,0.8,-2.2,-2.0,-1.9,-4.9
"LeGarrette Blount (NE, RB)",114.6,9.5,7.0,0.8,-0.4,-0.3,-2.9,0.6,0.3,-2.7,-1.3,-1.2,-4.2
"Chris Johnson (ARI, RB)",105.2,9.6,6.5,0.7,-0.4,-0.3,-2.9,1.6,1.2,-1.7,-5.3,-5.2,-8.2
"Giovani Bernard (CIN, RB)",127.4,8.5,5.5,1.0,-1.4,-1.4,-4.0,0.2,-0.2,-3.1,-2.8,-2.7,-5.7
"Eddie Lacy (GB, RB)",116.5,8.3,4.7,0.9,-1.6,-1.6,-4.2,-2.6,-2.9,-5.9,-0.6,-0.5,-3.5
"James Starks (GB, RB)",119.1,7.9,4.2,1.0,-2.0,-1.9,-4.5,-3.0,-3.3,-6.3,-1.0,-0.9,-4.0
"Charcandrick West (KC, RB)",109.6,7.8,3.7,0.9,-2.1,-2.1,-4.6,-4.0,-4.3,-7.3,0.5,0.6,-2.4
"Rashad Jennings (NYG, RB)",114.3,7.6,3.5,1.0,-2.3,-2.3,-4.9,-2.6,-2.9,-5.9,-1.9,-1.8,-4.8
"Isaiah Crowell (CLE, RB)",111.5,7.4,3.2,1.0,-2.5,-2.4,-5.0,-3.2,-3.5,-6.5,-1.6,-1.5,-4.5
"C.J. Anderson (DEN, RB)",105.3,7.5,3.1,0.9,-2.4,-2.4,-5.0,-3.5,-3.8,-6.8,-1.3,-1.2,-4.2
"Alfred Blue (HOU, RB)",86.3,6.6,1.8,0.9,-3.3,-3.2,-5.8,-4.3,-4.6,-7.6,-2.0,-1.9,-5.0
"Melvin Gordon (SD, RB)",83.3,6.0,1.2,0.9,-4.0,-3.9,-6.5,-3.9,-4.2,-7.2,-4.0,-3.9,-6.9
"Alfred Morris (DAL, RB)",77.8,5.2,0.8,1.0,-4.7,-4.7,-7.3,-5.1,-5.4,-8.4,-4.4,-4.3,-7.3
