Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Travis Kelce (KC, TE)",135.2,9.0,33.7,1.0,2.3,2.1,0.8,1.3,1.0,-0.1,3.5,2.9,1.3
"Delanie Walker (TEN, TE)",119.6,8.5,28.3,0.9,1.8,1.6,0.3,1.7,1.4,0.3,2.3,1.7,0.0
"Greg Olsen (CAR, TE)",123.1,8.2,28.0,1.0,1.5,1.3,0.0,3.9,3.6,2.5,-0.3,-0.9,-2.6
"Jimmy Graham (SEA, TE)",117.9,7.9,25.6,1.0,1.2,0.9,-0.3,0.2,-0.1,-1.2,2.3,1.7,0.0
"Cameron Brate (TB, TE)",114.0,7.6,24.0,1.0,0.9,0.7,-0.6,-0.5,-0.9,-2.0,2.5,1.9,0.2
"Jordan Reed (WAS, TE)",94.6,8.6,22.5,0.7,1.9,1.7,0.4,3.3,2.9,1.8,0.6,0.0,-1.7
"Kyle Rudolph (MIN, TE)",108.3,7.2,21.6,1.0,0.5,0.3,-1.0,0.5,0.2,-0.9,0.8,0.2,-1.4
"Martellus Bennett (GB, TE)",103.8,6.9,19.9,1.0,0.2,-0.0,-1.3,1.4,1.1,0.0,-0.9,-1.4,-3.1
"Rob Gronkowski (NE, TE)",72.0,9.0,17.9,0.5,2.3,2.1,0.8,4.4,4.1,3.0,-3.6,-4.2,-5.9
"Antonio Gates (SD, TE)",83.3,6.9,16.0,0.8,0.2,0.0,-1.3,-1.5,-1.8,-2.9,2.3,1.7,0.0
"Zach Miller (CHI, TE)",72.6,7.3,14.6,0.7,0.6,0.3,-0.9,0.5,0.2,-0.9,1.2,0.6,-1.0
"Eric Ebron (DET, TE)",77.1,6.4,13.7,0.8,-0.3,-0.5,-1.8,0.3,0.0,-1.1,-0.4,-1.0,-2.7
"Zach Ertz (PHI, TE)",79.7,6.1,13.5,0.9,-0.6,-0.8,-2.1,-3.7,-4.0,-5.1,1.7,1.1,-0.6
"Jason Witten (DAL, TE)",82.3,5.9,13.4,0.9,-0.8,-1.1,-2.3,-1.7,-2.0,-3.1,0.3,-0.3,-1.9
"Coby Fleener (NO, TE)",83.5,5.6,12.9,1.0,-1.1,-1.4,-2.6,0.5,0.1,-1.0,-2.2,-2.8,-4.5
"Charles Clay (BUF, TE)",77.2,5.5,11.8,0.9,-1.2,-1.4,-2.7,-3.2,-3.6,-4.7,1.9,1.3,-0.4
"Jack Doyle (IND, TE)",79.4,5.3,11.6,1.0,-1.4,-1.6,-2.9,0.3,-0.0,-1.1,-3.1,-3.6,-5.3
"C.J. Fiedorowicz (HOU, TE)",72.7,5.2,10.4,0.9,-1.5,-1.7,-3.0,-0.9,-1.2,-2.4,-2.0,-2.6,-4.2
"Vernon Davis (WAS, TE)",65.4,4.7,8.5,0.9,-2.0,-2.3,-3.5,-1.3,-1.6,-2.7,-2.5,-3.0,-4.7
"Lance Kendricks (GB, TE)",58.7,3.9,6.4,1.0,-2.8,-3.0,-4.3,-2.4,-2.7,-3.8,-2.9,-3.4,-5.1
