Player,Total Pts,Avg Pts,Auction Value,Availability,+/-,+/- median,+/- top qtr,1-8 +/-,1-8 +/- median,1-8 +/- top qtr,9-16 +/-,9-16 +/- median,9-16 +/- top qtr
"Antonio Brown (PIT, WR)",177.3,11.8,66.3,1.0,3.7,3.8,2.7,3.3,2.9,2.1,4.1,4.2,2.4
"Jordy Nelson (GB, WR)",175.1,11.7,63.1,1.0,3.5,3.7,2.6,1.1,0.7,-0.1,5.8,5.9,4.0
"Odell Beckham (NYG, WR)",173.2,11.5,60.4,1.0,3.4,3.6,2.4,2.4,2.0,1.2,4.4,4.4,2.6
"Mike Evans (TB, WR)",169.6,11.3,55.5,1.0,3.2,3.3,2.2,3.7,3.2,2.4,2.9,2.9,1.1
"Julio Jones (ATL, WR)",151.3,11.6,54.0,0.9,3.5,3.6,2.5,4.5,4.1,3.3,2.0,2.0,0.2
"Brandin Cooks (NO, WR)",150.4,10.7,42.2,0.9,2.6,2.7,1.6,2.4,2.0,1.2,2.9,2.9,1.1
"A.J. Green (CIN, WR)",112.4,11.2,36.1,0.7,3.1,3.2,2.1,4.4,4.0,3.2,-2.5,-2.4,-4.3
"Michael Thomas (NO, WR)",130.1,9.3,23.6,0.9,1.1,1.3,0.2,0.6,0.2,-0.6,1.8,1.9,0.1
"Doug Baldwin (SEA, WR)",136.6,9.1,23.4,1.0,1.0,1.1,0.0,-0.3,-0.7,-1.5,2.2,2.3,0.4
"Davante Adams (GB, WR)",136.6,9.1,23.4,1.0,1.0,1.1,0.0,0.6,0.2,-0.6,1.4,1.4,-0.4
"Dez Bryant (DAL, WR)",111.6,9.3,20.3,0.8,1.2,1.3,0.2,0.3,-0.1,-0.9,1.8,1.8,0.0
"Michael Crabtree (OAK, WR)",127.6,8.5,17.8,1.0,0.4,0.5,-0.6,1.8,1.4,0.6,-1.2,-1.2,-3.0
"Amari Cooper (OAK, WR)",127.0,8.5,17.5,1.0,0.3,0.5,-0.6,2.6,2.2,1.4,-2.1,-2.1,-3.9
"Tyrell Williams (SD, WR)",126.9,8.5,17.4,1.0,0.3,0.5,-0.6,-0.6,-1.1,-1.9,1.5,1.6,-0.2
"Emmanuel Sanders (DEN, WR)",123.6,8.2,15.7,1.0,0.1,0.2,-0.9,0.3,-0.1,-0.9,-0.0,0.0,-1.8
"Demaryius Thomas (DEN, WR)",123.6,8.2,15.7,1.0,0.1,0.2,-0.9,0.4,0.0,-0.8,-0.2,-0.1,-1.9
"Kenny Britt (LA, WR)",120.2,8.0,14.0,1.0,-0.1,0.0,-1.1,0.5,0.1,-0.7,-0.6,-0.5,-2.3
"Jarvis Landry (MIA, WR)",119.9,8.0,13.9,1.0,-0.1,0.0,-1.1,0.8,0.3,-0.5,-0.8,-0.8,-2.6
"DeSean Jackson (WAS, WR)",113.1,8.1,13.5,0.9,-0.1,0.1,-1.0,-2.6,-3.0,-3.8,3.4,3.4,1.6
"Larry Fitzgerald (ARI, WR)",118.6,7.9,13.3,1.0,-0.2,-0.1,-1.2,1.2,0.8,0.0,-1.8,-1.7,-3.6
"Adam Thielen (MIN, WR)",117.5,7.8,12.8,1.0,-0.3,-0.2,-1.3,-2.5,-2.9,-3.7,1.7,1.8,-0.0
"Mike Wallace (BAL, WR)",117.5,7.8,12.8,1.0,-0.3,-0.2,-1.3,0.7,0.3,-0.5,-1.1,-1.0,-2.8
"Terrelle Pryor (CLE, WR)",115.4,7.7,11.9,1.0,-0.4,-0.3,-1.4,0.9,0.5,-0.3,-1.9,-1.8,-3.6
"Rishard Matthews (TEN, WR)",115.1,7.7,11.8,1.0,-0.5,-0.3,-1.4,-2.3,-2.7,-3.5,1.7,1.8,-0.0
"Stefon Diggs (MIN, WR)",103.3,7.9,11.7,0.9,-0.2,-0.0,-1.2,0.8,0.4,-0.4,-0.9,-0.9,-2.7
"Alshon Jeffery (CHI, WR)",89.1,8.1,10.7,0.7,-0.0,0.1,-1.0,-0.5,-0.9,-1.7,1.0,1.1,-0.7
