Player,AuctionValue,Position,PriorYear_AuctionValue,CareerMean_AuctionValue,PriorYear_TotalPts,CareerMean_TotalPts,PriorYear_PtsPpg,CareerMean_PtsPpg,PriorYear_Availability,CareerMean_Availability,PriorYear_PlusMinus,CareerMean_PlusMinus,PriorYear_FirstHalfPlusMinus,CareerMean_FirstHalfPlusMinus,PriorYear_SecondHalfPlusMinus,CareerMean_SecondHalfPlusMinus
"Aaron Rodgers (GB, QB)",35.5,qb,21.5,0.0,280.4,321.0,18.7,21.6333333333,1.0,0.983333333333,0.5,5.93333333333,2.5,6.2,-1.4,6.11666666667
"Matt Ryan (ATL, QB)",29.7,qb,12.4,0.0,212.6,239.057142857,14.2,16.1857142857,1.0,0.985714285714,-4.1,0.528571428571,-1.2,1.58571428571,-7.0,-0.357142857143
"Drew Brees (NO, QB)",29.3,qb,24.7,0.0,290.1,304.1,20.7,20.4714285714,0.9,0.985714285714,2.5,4.81428571429,3.3,5.42857142857,1.7,4.52857142857
"Andrew Luck (IND, QB)",26.2,qb,0.0,0.0,0.0,288.466666667,0.0,19.2333333333,0.0,1.0,0.0,3.2,0.0,4.33333333333,0.0,2.03333333333
"Kirk Cousins (WAS, QB)",25.1,qb,20.0,0.0,270.4,270.4,18.0,18.0,1.0,1.0,-0.2,-0.2,-2.4,-2.4,1.6,1.6
"Derek Carr (OAK, QB)",20.0,qb,18.5,0.0,260.3,222.9,17.4,14.9,1.0,1.0,-0.9,-2.6,1.2,-1.45,-2.8,-3.6
"Matthew Stafford (DET, QB)",20.0,qb,19.2,0.0,264.9,239.55,17.7,16.6666666667,1.0,0.95,-0.6,0.783333333333,-2.2,1.46666666667,1.6,0.333333333333
"Ben Roethlisberger (PIT, QB)",19.5,qb,13.4,0.0,189.7,223.371428571,17.2,17.0,0.7,0.857142857143,-1.0,1.32857142857,-2.6,1.11428571429,-0.5,1.15714285714
"Blake Bortles (JAC, QB)",19.1,qb,26.4,0.0,310.6,233.1,20.7,16.35,1.0,0.95,2.5,-1.1,1.9,-1.6,2.9,-0.7
"Russell Wilson (SEA, QB)",18.7,qb,27.2,0.0,315.1,285.825,21.0,19.05,1.0,1.0,2.8,2.5,-1.2,0.2,7.6,5.225
"Andy Dalton (CIN, QB)",18.4,qb,18.8,0.0,244.1,232.02,18.8,15.98,0.9,0.98,0.5,-0.48,4.2,0.66,-3.4,-1.44
"Philip Rivers (SD, QB)",17.9,qb,19.2,0.0,264.9,249.742857143,17.7,16.6571428571,1.0,1.0,-0.6,0.957142857143,3.7,2.25714285714,-5.1,-0.242857142857
"Jameis Winston (TB, QB)",17.4,qb,18.0,0.0,256.4,256.4,17.1,17.1,1.0,1.0,-1.2,-1.2,-1.0,-1.0,-1.3,-1.3
"Carson Palmer (ARI, QB)",15.7,qb,25.0,0.0,302.1,208.216666667,20.1,14.7,1.0,0.933333333333,1.9,-0.783333333333,3.8,-1.71666666667,0.0,-1.3
"Joe Flacco (BAL, QB)",15.3,qb,0.0,0.0,0.0,215.933333333,0.0,14.3833333333,0.0,1.0,0.0,-0.85,0.0,-0.183333333333,0.0,-1.26666666667
"Eli Manning (NYG, QB)",14.2,qb,19.9,0.0,269.9,226.828571429,18.0,15.1142857143,1.0,1.0,-0.2,-0.528571428571,1.7,0.342857142857,-2.1,-1.27142857143
"Sam Bradford (MIN, QB)",12.7,qb,9.8,0.0,176.3,165.0,13.6,12.175,0.9,0.9,-4.7,-3.95,-4.3,-3.55,-4.8,-3.875
