Player,TotalPts,Position,rb_PriorYear_AuctionValue,rb_2015_AuctionValue,rb_2014_AuctionValue,rb_2013_AuctionValue,rb_2012_AuctionValue,rb_2011_AuctionValue,rb_2010_AuctionValue,rb_2009_AuctionValue,PriorYear_TotalPts,CareerMean_TotalPts,PriorYear_PtsPpg,CareerMean_PtsPpg,PriorYear_Availability,CareerMean_Availability,PriorYear_PlusMinus,CareerMean_PlusMinus,PriorYear_FirstHalfPlusMinus,CareerMean_FirstHalfPlusMinus,PriorYear_SecondHalfPlusMinus,CareerMean_SecondHalfPlusMinus
"David Johnson (ARI, RB)",321.4,rb,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,167.9,167.9,11.2,11.2,1.0,1.0,2.7,2.7,-0.1,-0.1,7.5,7.5
"Le'Veon Bell (PIT, RB)",240.4,rb,13.5,13.5,73.2,30.8,0.0,0.0,0.0,0.0,87.2,173.733333333,14.5,15.3333333333,0.4,0.733333333333,6.0,8.76666666667,7.0,7.66666666667,-7.9,5.73333333333
"LeSean McCoy (BUF, RB)",244.7,rb,18.5,18.5,22.7,67.6,47.4,89.2,52.1,12.6,144.7,186.942857143,12.1,13.2714285714,0.8,0.928571428571,3.6,9.4,3.0,9.38571428571,5.2,9.8
"DeMarco Murray (TEN, RB)",238.9,rb,12.7,12.7,72.4,45.6,33.7,18.8,0.0,0.0,129.2,165.2,9.2,12.68,0.9,0.86,0.7,7.7,3.7,7.62,-0.2,8.54
"Melvin Gordon (SD, RB)",209.6,rb,4.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,75.3,75.3,5.4,5.4,0.9,0.9,-3.1,-3.1,-2.4,-2.4,-2.3,-2.3
"LeGarrette Blount (PHI, RB)",214.8,rb,12.0,12.0,6.8,7.7,2.1,17.1,22.0,0.0,116.6,92.5166666667,9.7,7.25,0.8,0.85,1.2,2.81666666667,3.2,3.31666666667,0.8,3.01666666667
"Devonta Freeman (ATL, RB)",206.4,rb,40.2,40.2,2.9,0.0,0.0,0.0,0.0,0.0,230.0,142.85,16.4,10.05,0.9,0.95,7.9,2.55,13.2,5.2,2.7,0.15
"Jay Ajayi (MIA, RB)",180.4,rb,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,33.5,33.5,4.2,4.2,0.5,0.5,-4.3,-4.3,-7.6,-7.6,-3.7,-3.7
"Latavius Murray (MIN, RB)",172.7,rb,17.3,17.3,4.1,0.0,0.0,0.0,0.0,0.0,156.2,107.6,10.4,7.65,1.0,0.9,1.9,0.15,3.9,-1.25,1.6,1.9
"Carlos Hyde (SF, RB)",163.1,rb,7.1,7.1,3.9,0.0,0.0,0.0,0.0,0.0,68.3,65.2,9.8,7.1,0.5,0.7,1.3,-0.4,2.2,-0.05,-7.9,-4.65
"Mark Ingram (NO, RB)",173.1,rb,20.1,20.1,27.0,3.6,15.2,11.0,0.0,0.0,150.5,104.0,12.5,8.78,0.8,0.8,4.0,3.78,6.0,3.46,2.6,4.42
"Frank Gore (IND, RB)",168.7,rb,16.3,16.3,16.7,30.3,63.3,35.0,36.2,44.2,151.8,167.571428571,10.1,12.0,1.0,0.942857142857,1.6,8.12857142857,2.1,9.24285714286,2.7,7.18571428571
"Spencer Ware (KC, RB)",160.9,rb,5.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,63.2,32.1,7.9,4.45,0.5,0.3,-0.6,-2.15,-3.6,-3.45,1.3,-1.8
